,ID,+,*title,*subtype,*faction-tierren?,*faction-eniak?,option1,option2,,,,,,,,,,,,,
,terrarium-project,colony,Terrarium Project,Asteroid,,,"Activate: Move one spacecraft from Terrarium Project to high-orbit of another colony, ignoring all costs.",,n,y,y,,,,y,,,y,y,,
,olivarium,colony,Olivarium,Planet,,,Enemy spacecraft in orbit around Olivarium must pay 2 delta-vee or take 2 damage at the end of the round.,,n,n,y,,y,y,y,y,y,y,y,,
,foundation,colony,Foundation,Planet,,,Activate: Draw 2 cards and put 1 on the bottom of your deck.,,y,y,y,y,y,y,y,y,y,y,y,,
,,,,,,,,,,,,,,,,,,,,,
,ID,+,*title,*subtype,*faction-tierren?,*faction-eniak?,*abilities,x1,*construction?,*research?,*influence?,*gravity-4?,*gravity-3?,*gravity-2?,*gravity-1?,*health-4?,*health-3?,*health-2?,*health-1?,*command,
,tierren-industrial-conglomerate,homeworld,Tierren: Industrial Conglomerate,Planet,y,,You can use construction generated by Tierren: Industrial Conglomerate on any colony.,,y,y,y,,y,y,y,,,y,y,10,
,tierren-megabuilders,homeworld,Tierren: Megabuilders,Planet,y,,Add 2 construction tokens to Tierren: Megabuilders. You may spend them on any colony as construction whenever you activate that colony for construction.,,y,y,y,,y,y,y,,,y,y,10,
,tierren-resilient-infrastructure,homeworld,Tierren: Resilient Infrastructure,Planet,y,,Colonies and megastructures you control have +1 health.,,y,y,y,,y,y,y,,,y,y,10,
,eniak-unbottled-reactors,homeworld,ENIAK: Unbottled Reactors,Planet,,y,When any of your spacecraft moves do 1 damage to all enemy spacecraft in the starting orbital,,y,y,y,,y,y,y,,,y,y,9,
,eniak-predictive-oracle,homeworld,ENIAK: Predictive Oracle,Planet,,y,"Your espionage operations gain the trigger ""When you have at least two active treaties."" (You choose all targets for effects.)",,y,y,y,,y,y,y,,,y,y,9,
,eniak-robotic-settlements,homeworld,ENIAK: Robotic Settlements,Planet,,y,Colonies and megastructures you control don't take damage on a roll of 2 or less.,,y,y,y,,y,y,y,,,y,y,10,
,,,,,,,,,,,,,,,,,,,,,
,ID,+,*title,*subtype,*faction-tierren?,*faction-eniak?,*trigger,*effect,*command-3?,*command-2?,*command-1?,,,,,,,,,,
,back-channel-deals,espionage,Back Channel Deals,Blackmarket,y,,Your opponent activates a colony.,"You receive the effects of that activation, instead of your opponent.",,,y,,,,,,,,,,
,sabotaged-ordinance,espionage,Sabotaged Ordinance,Sabotage,y,,Your opponent attacks one of your spacecraft.,Do damage to the attacking spacecraft equal to its accuracy.,,,y,,,,,,,,,,
,saturation-bombing,espionage,Saturation Bombing,Surprise Attack,y,,You successfully bombard your opponent's colony.,That colony cannot be activated for the rest of the round.,,,y,,,,,,,,,,
,crisis-of-conscience,espionage,Crisis of Conscience,Betrayal,y,,You lose control of one of your colonies,You gain control of target hostile spacecraft.,,,y,,,,,,,,,,
,coordinated-assault,espionage,Coordinated Assault,Surprise Attack,y,,You successfully bombard an opponent's colony.,Do 1 damage to each megastructure on the colony.,,,y,,,,,,,,,,
,barrage-jamming,espionage,Barrage Jamming,EWAR,y,,One of your spacecraft occupies an orbital with an enemy spacecraft.,Your spacecraft cannot be targeted this round.,,,y,,,,,,,,,,
,intercepted-orders,espionage,Intercepted Orders,Spy,y,,Your opponent moves a spacecraft out of an orbital containing your spacecraft.,You may move your spacecraft to the enemy spacecraft's new position.,,,y,,,,,,,,,,
,retribution-protocol,espionage,Retribution Protocol,Surprise Attack,,y,One of your colonies takes damage.,Deal 1 damage to two target enemy colonies.,,,y,,,,,,,,,,
,c2-worm,espionage,C2 Worm,Betrayal,,y,An enemy megastructure finishes construction.,"You gain control of that megastructure for the next round. (All effects, abilities, and victory points apply to you.)",,,y,,,,,,,,,,
,bgp-isolation-procedures,espionage,BGP Isolation Procedures,Isolation,,y,An enemy spacecraft moves to one of your colonies.,That spacecraft cannot be activated again this round.,,,y,,,,,,,,,,
,archeaological-extrapolation,espionage,Archeaological Extrapolation,Spy,,y,You take control of a colony.,"Search your deck for a card, reveal it, and put it in your hand. Shuffle your deck.",,y,y,,,,,,,,,,
,thermal-overload,espionage,Thermal Overload,Surprise Attack,,y,The Immolation Beam damages a target enemy spacecraft.,Deal 5 damage to target spacecraft. Target spacecraft cannot be activated again this round.,,,y,,,,,,,,,,
,rf-bounce-prediction,espionage,RF Bounce Prediction,EWAR,,y,Debris is created.,Gain +2 command until the end of the round.,,,y,,,,,,,,,,
,nanoreconstructive-swarm,espionage,Nanoreconstructive Swarm,Betrayal,,y,Target spacecraft would be destroyed.,Target spacecraft instead regains 1 armor and 3 delta-vee. You control target spacecraft.,,y,y,,,,,,,,,,
,uncontrolled-overload,espionage,Uncontrolled Overload,Surprise Attack,,y,Target spacecraft is destroyed.,Do 1 damage to all enemy spacecraft orbiting the same colony.,,,y,,,,,,,,,,
,retroactive-negotiation,espionage,Retroactive Negotiation,Blackmail,,y,Your opponent proposes a treaty.,Swap the effects of one of your treaties.,,,y,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,ID,+,*title,*subtype,*faction-tierren?,*faction-eniak?,*abilities,x1,*vp?,*construction-4?,*construction-3?,*construction-2?,*construction-1?,*command-3?,*command-2?,*command-1?,*attack,*bombardment,*delta-vee,*health,*regeneration
,cloudraker,spacecraft,Cloudraker,Battleship,y,,"When Cloudraker would enter high-orbit around a colony it may instead choose to enter low-orbit. If it does, it takes damage equal to the gravity of the colony.",,,,,y,y,,y,y,4,6,6,10,3
,hyena-fav,spacecraft,Hyena FAV,Corvette,y,,,,,,,,y,,,y,2,0,10,1,1
,coyote-fav,spacecraft,Coyote FAV,Corvette,y,,,,,,,,y,,,y,2,0,10,1,1
,jackal-fav,spacecraft,Jackal FAV,Corvette,y,,,,,,,,y,,,y,2,0,10,1,1
,soilrazer,spacecraft,Soilrazer,Cruiser,y,,"When bombarding a colony, you may choose a megastructure hosted on the colony to receive one damage. This damage cannot be reduced in any way.",,,,,y,y,y,y,y,4,6,6,10,3
,olyphant-support-ship,spacecraft,Olyphant Support Ship,Frigate,y,,Spacecraft in the same orbital as this card may take one less damage when receiving damage from any source.,,,,,y,y,,,y,0,0,6,5,2
,itanos-cloud,spacecraft,Itano's Cloud,Battleship,y,,"When this spacecraft makes an attack, choose a spacecraft in orbit around the colony. That spacecraft must spend 2 delta-vee or receive 1 damage.",,,,y,y,y,y,y,y,4,5,6,6,2
,cheetah-fleet-carrier,spacecraft,Cheetah Fleet Carrier,Carrier,y,,"When this spacecraft moves, target spacecraft in the same orbit may move with it ignoring all costs.",,,,,y,y,,,y,1,0,16,2,1
,orbital-missile-platform,spacecraft,Orbital Missile Platform,Missile,y,,Orbital Missile Platform may attack an enemy ship in any orbital. Orbital Missile Platform may not be activated to move from the colony it was constructed on.,,,,,,y,,,y,4,0,16,1,1
,mobile-construction-yard,spacecraft,Mobile Construction Yard,Drydock,y,,You may activate this spacecraft to add 1 construction to a megastructure or spacecraft under construction at the orbited colony. You may do this only once per round.,,,,,y,y,,,y,0,0,6,1,1
,pathmaker,spacecraft,Pathmaker,Frigate,y,,"When this spacecraft damages another spacecraft, it may regain 1 delta-vee.",,,,,y,y,,,y,2,3,8,4,1
,herald-of-destruction,spacecraft,Herald of Destruction,Battleship,y,,When this spacecraft orbits a colony for the first time all enemy spacecraft must spend one delta-vee or take one damage.,,,y,y,y,y,y,y,y,5,6,8,10,3
,steel-bathtub,spacecraft,Steel Bathtub,Frigate,y,,This spacecraft does not take damage from debris.,,,,,y,y,,,y,2,2,12,4,1
,scout-vessel,spacecraft,Scout Vessel,Speeder,,y,Activate: Look at one facedown card on the currently orbited colony.,,y,,,,y,,,y,1,0,20,1,1
,nanoswarm-reaper,spacecraft,Nanoswarm Reaper,Nanoswarm,,y,"When Nanoswarm Reaper damages an colony, that colony cannot be activated for the rest of the round.",,y,,y,y,y,y,y,y,3,4,6,4,1
,nanoswarm-regenerator,spacecraft,Nanoswarm Regenerator,Nanoswarm,,y,"Activate: Nanoswarm Keeper takes one damage, a different spacecraft in the same orbital removes one damage.",,y,,y,y,y,,y,y,1,0,10,5,2
,nanoswarm-sower,spacecraft,Nanoswarm Sower,Nanoswarm,,y,Spacecraft damaged by Nanoswarm Sower cannot use the repair action for the rest of this round.,,y,,y,y,y,,y,y,2,0,8,3,1
,gx7-mirrorbomb,spacecraft,GX7 Mirrorbomb,Electrowar,,y,Activate: Swap control of GX7 Mirrorbomb and target enemy spacecraft in orbit around the same colony until the end of the round. Use this ability only once each round.,,y,,y,y,y,,y,y,2,2,10,2,1
,t9000-ch4f,spacecraft,T9000 CH4F,Electrowar,,y,Spacecraft attacking T9000 CH4F are treated as having 1 accuracy.,,y,,y,y,y,,y,y,4,3,14,2,1
,immolation-beam,spacecraft,Immolation Beam,Exterminator,,y,When Immolation Beam attacks you may subtract 3 from one dice rolled to attack.,,y,,y,y,y,,y,y,3,4,12,4,1
,organic-dissolver,spacecraft,Organic Dissolver,Exterminator,,y,When Organic Dissolver moves do one damage to all spacecraft in the starting and ending orbital.,,y,,y,y,y,,y,y,2,1,12,3,1
,sw4rm-rp9,spacecraft,SW4RM RP9,Electrowar,,y,Activate: Activate a friendly ship in orbit around this colony without paying activation costs.,,y,,y,y,y,,,y,1,1,10,3,1
,retroactive-postconstructor,spacecraft,Retroactive Postconstructor,Librarian,,y,Activate: Remove a piece of debris from the same orbit as Retroactive Postconstructor. Draw a card.,,y,,,y,y,,y,y,0,0,8,1,1
,needle-ship,spacecraft,Needle Ship,Exterminator,,y,When Needle Ship moves do 1 damage to target spacecraft in the ending orbital unless that spacecraft pays 2 delta-vee.,,y,,,,y,,,y,1,1,16,2,1
,assimilation-architect,spacecraft,Assimilation Architect,Librarian,,y,"Activate: If there is debris in this orbital, remove it and add 1 construction to a spacecraft or megastructure under construction at the same colony.",,y,,,y,y,,y,y,1,0,10,1,1
,heat-s33k3r,spacecraft,HEAT S33K3R,Exterminator,,y,"When HEAT S33K3R bombards a colony, use the full value of bombardment instead of the half value.",,y,,,y,y,,y,y,1,5,12,2,1
,prototype-displacer,spacecraft,Prototype Displacer,Prototype,,y,Activate: Take 3 damage. Move Prototype Displacer to any orbit around any colony.,,y,,y,y,y,,,y,3,4,10,4,1
,superluminal-node,spacecraft,Superluminal Node,Electrowar,,y,Spacecraft in the same orbit as Superluminal Node cost 1 less command to activate. This cannot lower the value below 1.,,y,,,y,y,y,y,y,1,1,12,2,1
,,,,,,,,,,,,,,,,,,,,,
,ID,+,*title,*subtype,*faction-tierren?,*faction-eniak?,*abilities,x1,*vp?,*construction-4?,*construction-3?,*construction-2?,*construction-1?,*health-4?,*health-3?,*health-2?,*health-1?,,,,
,general-j-hamm-naval-base,megastructure,General J. Hamm Naval Base,Fortress,y,,This colony provides +2 command.,,y,y,y,y,y,,,y,y,,,,
,vulcan-palisade,megastructure,Vulcan Palisade,Shield,y,,This colony takes zero damage from bombardment.,,y,y,y,y,y,,,y,y,,,,
,space-elevator,megastructure,Space Elevator,Transport,y,,Constructed spacecraft may start in high-orbit,,y,,,,y,,,,y,,,,
,nuclear-missile-silo,megastructure,Nuclear Missile Silo,Weapon,y,,Spend 2 Command: Make an attack on a ship in orbit treating the attack delta-vee as 4 and the accuracy as 2.,,y,,y,y,y,,,y,y,,,,
,air-gapped-systems,megastructure,Air-gapped systems,Shield,y,,Espionage events affecting this colony cost 1 more command to play.,,y,,,,y,,,,y,,,,
,experimental-quantum-transmitter,megastructure,Experimental Quantum Transmitter,Transport,y,,"If Experimental Quantum Receiver is hosted on another owned colony then both assets receive +1 to all resource generation. (Draw one more card, add one more construction, maintain one more treaty.)",,y,,,y,y,,,,y,,,,
,experimental-quantum-receiver,megastructure,Experimental Quantum Receiver,Transport,y,,"If Experimental Quantum Transmitter is hosted on another owned colony then both assets receive +1 to all resource generation. (Draw one more card, add one more construction, maintain one more treaty.)",,y,,,y,y,,,,y,,,,
,interplanetary-catapult-launcher,megastructure,Interplanetary Catapult Launcher,Transport,y,,Your spacecraft in orbit around this colony only spend half the delta-vee to move to another colony.,,y,,,y,y,,,,y,,,,
,interplanetary-catapult-receiver,megastructure,Interplanetary Catapult Receiver,Transport,y,,Your spacecraft moving to this colony only spend half the delta-vee to do so.,,y,,,y,y,,,,y,,,,
,modular-construction-yards,megastructure,Modular Construction Yards,Shipyard,y,,This colony generates +2 construction when it generates construction,,y,,,y,y,,,y,y,,,,
,interplanetary-broadcast-station,megastructure,Interplanetary Broadcast Station,Fortress,y,,This colony provides +1 command,,y,,y,y,y,,,,y,,,,
,0k-research-labs,megastructure,0K Research Labs,Laboratory,,y,"When an effect or ability on this colony would cause you to draw any amount of cards, draw one more card.",,,,y,y,y,,,y,y,,,,
,simulacrum-facility,megastructure,Simulacrum Facility,Laboratory,,y,Activate: You may look at one random card in your opponent's hand.,,,,,,y,,,,y,,,,
,reconstructive-modeller,megastructure,Reconstructive Modeller,Laboratory,,y,"When this colony takes damage, draw a card.",,,,,y,y,,,,y,,,,
,synaptic-recycler,megastructure,Synaptic Recycler,Shipyard,,y,Activate: Place a card from your hand facedown in any orbit. That card is now debris.,,,,,y,y,,,y,y,,,,
,magnetospheric-manipulator,megastructure,Magnetospheric Manipulator,Weapon,,y,"Activate: If there is debris around this colony, do 1 damage to target enemy spacecraft.",,,,,y,y,,,y,y,,,,
,excavated-core-computer,megastructure,Excavated Core Computer,Laboratory,,y,Subtract 1 from this colony’s gravity. It cannot go below 1.,,,,,y,y,,,y,y,,,,
,osmium-shielded-circuitry,megastructure,Osmium Shielded Circuitry,Laboratory,,y,Add 1 to this colony’s gravity,,,,,y,y,,,y,y,,,,
,logistical-kill-switch,megastructure,Logistical Kill Switch,Shield,,y,"If this colony is no longer under your control, it cannot be activated.",,,,,,y,,,y,y,,,,
,hypertrophic-pacifier,megastructure,Hypertrophic Pacifier,Weapon,,y,Acitvate: Spacecraft in orbit around this colony cannot attack.,,,,y,y,y,,,,y,,,,
